Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
74        | 7ff7c865fbd0h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32u](64u)                                                                             | uint to<uint>(ulong src)                                                                                      | 0f 1f 44 00 00 8b c1 c3
75        | 7ff7c865fbf0h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32i](64u)                                                                             | int to<int>(ulong src)                                                                                        | 0f 1f 44 00 00 8b c1 c3
76        | 7ff7c865fc10h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](64u)                                                                             | ulong to<ulong>(ulong src)                                                                                    | 0f 1f 44 00 00 48 8b c1 c3
77        | 7ff7c865fc30h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](64u)                                                                             | long to<long>(ulong src)                                                                                      | 0f 1f 44 00 00 48 8b c1 c3
78        | 7ff7c865fc50h   | 32      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](64u)                                                                             | float to<float>(ulong src)                                                                                    | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fb 2a c1 48 85 c9 7d 08 c5 fb 58 05 0d 00 00 00 c5 fb 5a c0 c3
79        | 7ff7c865fc90h   | 15      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](64u)                                                                             | double to<double>(ulong src)                                                                                  | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fb 2a c1 c3
80        | 7ff7c865fcb0h   | 18      | CTC_RET_INTR        | hex://root/cast?to#to_g[8u](32f)                                                                              | byte to<byte>(float src)                                                                                      | c5 f8 77 66 90 c5 fa 5a c0 c4 e1 fb 2c c0 0f b6 c0 c3
81        | 7ff7c865fce0h   | 18      | CTC_RET_INTR        | hex://root/cast?to#to_g[8i](32f)                                                                              | sbyte to<sbyte>(float src)                                                                                    | c5 f8 77 66 90 c5 fa 5a c0 c5 fb 2c c0 48 0f be c0 c3
82        | 7ff7c865fd10h   | 18      | CTC_RET_INTR        | hex://root/cast?to#to_g[16u](32f)                                                                             | ushort to<ushort>(float src)                                                                                  | c5 f8 77 66 90 c5 fa 5a c0 c4 e1 fb 2c c0 0f b7 c0 c3
83        | 7ff7c8660140h   | 22      | CTC_RET_INTR        | hex://root/cast?to#to_g[16i](32f)                                                                             | short to<short>(float src)                                                                                    | c5 f8 77 66 90 c5 fa 5a c0 c5 fb 2c c0 48 0f be c0 48 0f bf c0 c3
84        | 7ff7c8660170h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast?to#to_g[32u](32f)                                                                             | uint to<uint>(float src)                                                                                      | c5 f8 77 66 90 c4 e1 fa 2c c0 c3
85        | 7ff7c8660190h   | 14      | CTC_RET_INTR        | hex://root/cast?to#to_g[32i](32f)                                                                             | int to<int>(float src)                                                                                        | c5 f8 77 66 90 c5 fa 5a c0 c5 fb 2c c0 c3
86        | 7ff7c86601b0h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast?to#to_g[64u](32f)                                                                             | ulong to<ulong>(float src)                                                                                    | c5 f8 77 66 90 c4 e1 fa 2c c0 c3
87        | 7ff7c86601d0h   | 15      | CTC_RET_INTR        | hex://root/cast?to#to_g[64i](32f)                                                                             | long to<long>(float src)                                                                                      | c5 f8 77 66 90 c5 fa 5a c0 c4 e1 fb 2c c0 c3
88        | 7ff7c86601f0h   | 6       | CTC_RET_Zx3         | hex://root/cast?to#to_g[32f](32f)                                                                             | float to<float>(float src)                                                                                    | c5 f8 77 66 90 c3
89        | 7ff7c8660210h   | 10      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](32f)                                                                             | double to<double>(float src)                                                                                  | c5 f8 77 66 90 c5 fa 5a c0 c3
90        | 7ff7c8660230h   | 14      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](64f)                                                                              | byte to<byte>(double src)                                                                                     | c5 f8 77 66 90 c4 e1 fb 2c c0 0f b6 c0 c3
91        | 7ff7c8660250h   | 14      | CTC_RET_INTR        | hex://root/cast?to#to_g[8i](64f)                                                                              | sbyte to<sbyte>(double src)                                                                                   | c5 f8 77 66 90 c5 fb 2c c0 48 0f be c0 c3
92        | 7ff7c8660270h   | 14      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](64f)                                                                             | ushort to<ushort>(double src)                                                                                 | c5 f8 77 66 90 c4 e1 fb 2c c0 0f b7 c0 c3
93        | 7ff7c8660290h   | 18      | CTC_RET_INTR        | hex://root/cast?to#to_g[16i](64f)                                                                             | short to<short>(double src)                                                                                   | c5 f8 77 66 90 c5 fb 2c c0 48 0f be c0 48 0f bf c0 c3
94        | 7ff7c86602c0h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast?to#to_g[32u](64f)                                                                             | uint to<uint>(double src)                                                                                     | c5 f8 77 66 90 c4 e1 fb 2c c0 c3
95        | 7ff7c86602e0h   | 10      | CTC_RET_INTR        | hex://root/cast?to#to_g[32i](64f)                                                                             | int to<int>(double src)                                                                                       | c5 f8 77 66 90 c5 fb 2c c0 c3
96        | 7ff7c8660300h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast?to#to_g[64u](64f)                                                                             | ulong to<ulong>(double src)                                                                                   | c5 f8 77 66 90 c4 e1 fb 2c c0 c3
97        | 7ff7c8660320h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast?to#to_g[64i](64f)                                                                             | long to<long>(double src)                                                                                     | c5 f8 77 66 90 c4 e1 fb 2c c0 c3
98        | 7ff7c8660340h   | 10      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](64f)                                                                             | float to<float>(double src)                                                                                   | c5 f8 77 66 90 c5 fb 5a c0 c3
99        | 7ff7c8660360h   | 6       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64f](64f)                                                                             | double to<double>(double src)                                                                                 | c5 f8 77 66 90 c3
100       | 7ff7c8660380h   | 322     | CTC_RET_Zx3         | hex://root/cast?ocast#ocast_(object,NumericKind~32u)                                                          | object ocast(object src, NumericKind:uint dst)                                                                | 57 56 48 83 ec 28 48 8b f1 8b fa 48 85 f6 75 04 33 c9 eb 0b 48 8b ce e8 34 64 b5 5e 48 8b c8 e8 dc bb 8c 4d 83 c0 fb 83 f8 09 0f 87 08 01 00 00 8b c8 48 8d 15 0f 01 00 00 8b 14 8a 48 8d 05 c8 ff ff ff 48 03 d0 ff e2 8b cf 48 8b d6 48 b8 28 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 30 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 38 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 40 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 48 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 50 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 58 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 60 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 68 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 8b cf 48 8b d6 48 b8 70 d5 77 c7 f7 7f 00 00 48 83 c4 28 5e 5f 48 ff e0 48 8b c6 48 83 c4 28 5e 5f c3
